# source: NASA Exoplanet Archive, pscomppars composite-parameters table, TAP service (keyless). https://exoplanetarchive.ipac.caltech.edu/
# query: select top 1000 pl_name,hostname,ra,dec,st_teff,pl_orbper from pscomppars where st_teff is not null and pl_orbper is not null and ra is not null and dec is not null order by pl_name
# rows: 1000
pl_name,hostname,ra,dec,st_teff,pl_orbper
Kepler-1004 b,Kepler-1004,297.3593427,49.7975464,4972.00,5.28789787000
Kepler-1006 b,Kepler-1006,295.7542063,42.5373065,5328.00,19.76172042000
Kepler-1007 b,Kepler-1007,295.9065297,45.8090893,4587.00,5.18500207300
Kepler-1010 b,Kepler-1010,289.1926026,44.1493165,5253.00,34.26857050000
Kepler-1014 b,Kepler-1014,285.1219875,44.1105331,5388.00,16.57110363000
Kepler-1019 b,Kepler-1019,283.7175909,47.2043818,4433.00,1.41122984700
Kepler-1025 b,Kepler-1025,284.5102140,43.9615628,6089.00,37.32294930000
Kepler-1028 b,Kepler-1028,289.5931004,49.7812447,5522.00,2.51462432000
Kepler-1029 b,Kepler-1029,292.1328738,41.5474786,5030.00,4.41769647900
Kepler-1033 b,Kepler-1033,283.8450963,44.6090251,5547.00,7.56052806000
Kepler-1036 b,Kepler-1036,295.1817093,49.9458172,5533.00,122.88080580000
Kepler-1038 c,Kepler-1038,298.9721472,44.1323499,5159.00,7.12765979800
Kepler-1044 b,Kepler-1044,293.1444017,46.6662155,5985.00,6.77408868000
Kepler-1045 b,Kepler-1045,284.1832668,45.0740897,5301.00,26.41045478000
Kepler-1047 b,Kepler-1047,288.6462564,50.7889645,5754.00,56.18868870000
Kepler-1049 b,Kepler-1049,287.3469567,47.7729078,3864.00,3.27346073600
Kepler-1056 b,Kepler-1056,299.5259832,46.8992561,6127.00,27.49560600000
Kepler-1058 b,Kepler-1058,294.5956256,45.8750556,4644.00,110.96546000000
Kepler-1059 b,Kepler-1059,289.2202147,41.7064385,4906.00,3.76419104800
Kepler-1060 b,Kepler-1060,286.0252285,39.6309204,5797.00,46.87793670000
Kepler-1064 b,Kepler-1064,291.7415821,37.6888103,5153.00,16.54080322000
Kepler-1066 b,Kepler-1066,298.8666210,46.5022325,5762.00,1.93155983900
Kepler-1074 b,Kepler-1074,284.4766869,46.2526781,4002.00,5.94566534000
Kepler-1083 b,Kepler-1083,283.1618831,45.1983360,5049.00,33.41779930000
Kepler-1085 c,Kepler-1085,287.4776359,46.1411685,5816.00,56.77710000000
Kepler-1087 b,Kepler-1087,294.9789253,46.0056741,5589.00,0.69384285500
Kepler-1099 b,Kepler-1099,288.7499866,48.2771163,5837.00,2.16845259300
Kepler-11 b,Kepler-11,297.1150949,41.9091092,5663.00,10.30390000000
Kepler-110 b,Kepler-110,292.9291693,48.6028303,5960.00,12.69111200000
Kepler-110 c,Kepler-110,292.9291693,48.6028303,5960.00,31.71977500000
Kepler-1106 b,Kepler-1106,291.1451576,44.0624715,6104.00,1.25275217400
Kepler-111 b,Kepler-111,291.6531630,44.6882613,5952.00,3.34181500000
Kepler-1110 b,Kepler-1110,291.8080645,38.6226615,4781.00,9.69312032000
Kepler-112 c,Kepler-112,296.9811361,43.2097025,5544.00,28.57426300000
Kepler-1120 b,Kepler-1120,290.9144516,42.2865522,4904.00,2.94902905200
Kepler-1122 b,Kepler-1122,288.2805801,46.3408747,5544.00,42.19173570000
Kepler-1126 b,Kepler-1126,285.6919550,45.6893993,5798.00,108.59332900000
Kepler-1129 b,Kepler-1129,291.6044965,41.3093275,5831.00,24.33978040000
Kepler-114 b,Kepler-114,294.1214820,48.3497977,4605.00,5.18854900000
Kepler-1142 b,Kepler-1142,292.7144796,44.0822816,5685.00,18.30272480000
Kepler-1143 c,Kepler-1143,287.3027720,39.2896399,5053.00,210.63059100000
Kepler-1146 b,Kepler-1146,286.7167120,47.4256580,4692.00,2.35226579700
Kepler-115 b,Kepler-115,297.7119299,45.2619850,5979.00,2.40367900000
Kepler-115 c,Kepler-115,297.7119299,45.2619850,5979.00,8.99088900000
Kepler-1152 b,Kepler-1152,290.4341483,44.1077802,3964.00,1.64680190800
Kepler-1154 c,Kepler-1154,297.4771158,39.8772345,6327.00,8.45808312000
Kepler-1155 b,Kepler-1155,288.8206058,39.5228712,5842.00,33.46974300000
Kepler-116 b,Kepler-116,294.7420605,43.5367842,6142.00,5.96873400000
Kepler-1167 b,Kepler-1167,298.3026595,47.6939654,4971.00,1.00393373900
Kepler-1169 b,Kepler-1169,294.9115874,46.4914718,6191.00,6.11009134000
Kepler-1176 b,Kepler-1176,297.9197240,45.2742038,5844.00,24.17385790000
Kepler-1178 b,Kepler-1178,288.4561183,45.8022258,4990.00,31.80634000000
Kepler-1184 b,Kepler-1184,291.2820310,46.9659514,5983.00,53.59910440000
Kepler-1186 b,Kepler-1186,288.4796333,47.1017438,5635.00,16.07677615000
Kepler-1189 b,Kepler-1189,298.4264116,47.9468194,6012.00,3.78858982000
Kepler-119 b,Kepler-119,295.9463854,42.6588324,5595.00,2.42208200000
Kepler-1195 b,Kepler-1195,284.3510523,40.8529319,4965.00,8.49642241000
Kepler-12 b,Kepler-12,286.2434458,50.0403671,5947.00,4.43796290000
Kepler-1205 b,Kepler-1205,290.2796734,41.5150499,5226.00,1.07839035200
Kepler-1207 b,Kepler-1207,295.0641963,49.3589615,5909.00,13.68237119000
Kepler-1211 b,Kepler-1211,285.7207618,40.8569116,5705.00,11.01816836000
Kepler-1214 b,Kepler-1214,285.1427113,49.8006565,5130.00,18.82634264000
Kepler-1215 b,Kepler-1215,297.4636477,48.1813978,5616.00,4.76703963000
Kepler-1218 b,Kepler-1218,291.5788505,44.5316825,5986.00,22.92212660000
Kepler-1219 b,Kepler-1219,297.2158443,47.3785082,5944.00,16.10467749000
